# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
128up	FBgn0010339	FBtr0087976	protein_coding	0	27	0	229	0	0	0	0	0	0	0	132	0	0	19	0	0	0	0	0	6	0	0	0	0	21	84
14-3-3epsilon	FBgn0020238	FBtr0083565	protein_coding	0	2	0	299	1	0	1	0	0	0	0	82	0	0	88	0	0	0	0	0	1	0	0	0	0	1	128
14-3-3epsilon	FBgn0020238	FBtr0083566	protein_coding	0	2	0	343	17	0	4	0	0	0	0	100	0	0	88	0	0	0	0	0	1	0	0	0	0	1	135
14-3-3epsilon	FBgn0020238	FBtr0083567	protein_coding	0	2	0	299	1	0	1	0	0	0	0	82	0	0	88	0	0	0	0	0	1	0	0	0	0	1	128
14-3-3epsilon	FBgn0020238	FBtr0083568	protein_coding	0	2	0	351	21	0	4	0	0	0	0	104	0	0	88	0	0	0	0	0	1	0	0	0	0	1	135
14-3-3zeta	FBgn0004907	FBtr0088412	protein_coding	0	1	0	217	19	0	4	0	0	0	0	57	0	0	80	0	0	0	0	0	1	0	0	0	0	0	58
14-3-3zeta	FBgn0004907	FBtr0088413	protein_coding	0	1	0	167	7	0	4	0	0	0	0	46	0	0	68	0	0	0	0	0	1	0	0	0	0	0	43
14-3-3zeta	FBgn0004907	FBtr0088414	protein_coding	0	1	0	190	19	0	4	0	0	0	0	57	0	0	67	0	0	0	0	0	0	0	0	0	0	1	43
14-3-3zeta	FBgn0004907	FBtr0088415	protein_coding	0	1	0	217	19	0	4	0	0	0	0	57	0	0	79	0	0	0	0	0	0	0	0	0	0	1	58
14-3-3zeta	FBgn0004907	FBtr0088416	protein_coding	0	0	0	195	7	0	4	0	0	0	0	46	0	0	80	0	0	0	0	0	0	0	0	0	0	0	58
14-3-3zeta	FBgn0004907	FBtr0088417	protein_coding	0	1	0	190	19	0	5	0	0	0	0	57	0	0	67	0	0	0	0	0	1	0	0	0	0	0	43
14-3-3zeta	FBgn0004907	FBtr0088418	protein_coding	0	1	0	217	19	0	4	0	0	0	0	57	0	0	80	0	0	0	0	0	1	0	0	0	0	0	58
14-3-3zeta	FBgn0004907	FBtr0088419	protein_coding	0	0	0	191	19	0	4	0	0	0	0	57	0	0	68	0	0	0	0	0	0	0	0	0	0	0	43
14-3-3zeta	FBgn0004907	FBtr0100182	protein_coding	0	1	0	164	0	0	4	0	0	0	0	50	0	0	68	0	0	0	0	0	1	0	0	0	0	0	43
14-3-3zeta	FBgn0004907	FBtr0100183	protein_coding	0	1	0	167	7	0	4	0	0	0	0	46	0	0	67	0	0	0	0	0	0	0	0	0	0	1	43
14-3-3zeta	FBgn0004907	FBtr0332916	protein_coding	0	1	0	167	19	0	4	0	0	0	0	57	0	0	42	0	0	0	0	0	0	0	0	0	0	1	45
14-3-3zeta	FBgn0004907	FBtr0332917	protein_coding	0	1	0	140	7	0	4	0	0	0	0	46	0	0	26	0	0	0	0	0	0	0	0	0	0	1	57
140up	FBgn0010340	FBtr0082909	protein_coding	0	7	2	218	1	0	2	0	0	0	0	114	0	0	4	2	0	0	0	0	0	0	0	0	0	7	97
140up	FBgn0010340	FBtr0337095	protein_coding	0	7	2	220	6	0	2	0	0	0	0	111	0	0	4	2	0	0	0	0	0	0	0	0	0	7	97
18SrRNA-Psi:CR41602	FBgn0085813	FBtr0346892	pseudogene	0	0	0	14	0	0	0	0	0	0	0	2	0	0	0	0	7	0	0	0	0	0	0	0	0	0	5
